question,sql
How much is the net profit when the revenue is 150.6 million dollars?,SELECT Net profit (US $m) FROM table WHERE Revenue (US $million) = 150.6
Name the year for not nominated for alberto aruelo,SELECT Year (Ceremony) FROM table WHERE Result = Not Nominated AND Director = Alberto Aruelo
Name the total number of director for oro diablo,SELECT COUNT Director FROM table WHERE Original title = Oro Diablo
Name the number of result for maroa,SELECT COUNT Result FROM table WHERE Film title used in nomination = Maroa
Name the number of director for  huelepega: ley de la calle,SELECT COUNT Director FROM table WHERE Original title = Huelepega: Ley de la Calle
What was the win/loss record for All Neutral games for the team whose Big 10 winning percentage was .833?,SELECT All Neutral FROM table WHERE B10 % = .833
What is the category when the version is 1.0 and the title is Chord finder? ,SELECT Category FROM table WHERE Version = 1.0 AND Title = Chord Finder
What was the release date for metronome? ,SELECT Release date FROM table WHERE Title = Metronome
Who is the developer for Windows live messenger? ,SELECT Developer FROM table WHERE Title = Windows Live Messenger
What is the function of 1.4 version of Windows live messenger? ,SELECT Function FROM table WHERE Version = 1.4 AND Title = Windows Live Messenger
What functions were released on 2011-06-23? ,SELECT Function FROM table WHERE Release date = 2011-06-23
"What is the cospar ID of the Kosmos 2397 satellite, which has an operational life of 2 months?",SELECT COSPAR ID FROM table WHERE Estimated Operational Life = 2 months AND Satellite = Kosmos 2397
What was the launch date the satellite with cospar ID is 2008-033A?,SELECT Launch Date FROM table WHERE COSPAR ID = 2008-033A
What it the international designation for the kosmos 2379 satellite?,SELECT COSPAR ID FROM table WHERE Satellite = Kosmos 2379
What is the estimated end date for the 2001-037a international designated satellite?,SELECT Estimated End Date[ clarification needed ] FROM table WHERE COSPAR ID = 2001-037A
"in which city was charter date december 4, 2011","SELECT City FROM table WHERE Charter Date = December 4, 2011"
how mnay greek designation  in tampa,SELECT COUNT Greek Designation FROM table WHERE City = Tampa
what is the status in vestal,SELECT Status FROM table WHERE City = Vestal
what is the collegiate institution in queens,SELECT Collegiate Institution FROM table WHERE City = Queens
What was the original title of Run for Money?,SELECT Original title FROM table WHERE Film title used in nomination = Run for Money
What was the Tuesday episode if theThursday episode was 196 Buried?,SELECT Tuesday FROM table WHERE Thursday = 196 Buried
How many episodes were shown on Friday if 210 Kirby's Epic Yarn was shown on Wednesday?,SELECT COUNT Friday FROM table WHERE Wednesday = 210 Kirby's Epic Yarn
How many episodes were shown on Friday if 190 Boardwalk Empire was shown on Wednesday?,SELECT COUNT Friday FROM table WHERE Wednesday = 190 Boardwalk Empire
What were the dates when 224 Assassin's Creed: Brotherhood Circus Training was shown on Tuesday?,SELECT Episodes FROM table WHERE Tuesday = 224 Assassin's Creed: Brotherhood Circus Training
"When the average away attendance is 1.889 in the Superettan, what's the average home attendance?",SELECT Average Attendance Home FROM table WHERE Division / Section = Superettan AND Average Attendance Away = 1.889
In which season was the average league attendance 2.572?,SELECT MAX Season FROM table WHERE Average Attendance League = 2.572
In which division did they compete in 2012?,SELECT Division / Section FROM table WHERE Season = 2012
"When the home attendance is 3.123, what's the highest away attendance?",SELECT Highest Attendance Away FROM table WHERE Average Attendance Home = 3.123
Which division has an average home attendance of 2.459?,SELECT Division / Section FROM table WHERE Average Attendance Home = 2.459
How many years was he car number 92?,SELECT COUNT Speed rank FROM table WHERE Car number = 92
How many years was the chassis a lotus-ford 38/7?,SELECT COUNT Year FROM table WHERE Chassis = Lotus-Ford 38/7
What was the race status(es) with the lotus-ford 38/1 chassis?,SELECT Race status FROM table WHERE Chassis = Lotus-Ford 38/1
What year(s) was the race status piston?,SELECT Year FROM table WHERE Race status = Piston
What is the largest laps led with the lotus-ford 34/3 chassis?,SELECT MAX Laps led FROM table WHERE Chassis = Lotus-Ford 34/3
What was the population of Minneapolis in 2012?,SELECT MAX Population FROM table WHERE City = Minneapolis
How many burglaries occurred in the city where the violent crime rate was 974.7?,SELECT Burglary FROM table WHERE Violent Crime = 974.7
What was the violent crime rate in the city where the robbery rate was 201.4?,SELECT Violent Crime FROM table WHERE Robbery = 201.4
How many cities were there in 2012 where the rate of burglary was 224.8?,SELECT COUNT Property Crime FROM table WHERE Burglary = 224.8
"What are all values for Mitchell when the author species is Temminck & Schlegel, 1849?","SELECT Mitchell FROM table WHERE Author Species = Temminck & Schlegel, 1849"
What is every value when Mitchell is 676?,SELECT Value FROM table WHERE Mitchell = 676
How many different numbers for Afinsa when value is 5p?,SELECT COUNT Afinsa FROM table WHERE Value = 5P
What is every entry for Scott when the date is (15.12)?,SELECT Scott FROM table WHERE Date = (15.12)
What is every species when Afinsa is 639?,SELECT Species FROM table WHERE Afinsa = 639
How many orders when the species is Pavo Cristatus?,SELECT COUNT Order FROM table WHERE Species = Pavo cristatus
"If the distance is 55.7, what is the name of the constellation?",SELECT Constellation FROM table WHERE Distance ( ly ) = 55.7
"If the spectral type is g1v, what is the total distance amount?",SELECT COUNT Distance ( ly ) FROM table WHERE Spectral type = G1V
What is the hd designation for arrival date of February 2070?,SELECT COUNT HD designation FROM table WHERE Arrival date = February 2070
"If the constellation is Gemini, what is the spectral type?",SELECT Spectral type FROM table WHERE Constellation = Gemini
"If the arrival date is January 2059, what is the total amount of signal power?",SELECT COUNT Signal power ( kW ) FROM table WHERE Arrival date = January 2059
"If the spectral type is g1v, what is the constellation?",SELECT Constellation FROM table WHERE Spectral type = G1V
"What is the artist of the song ""sugarbaby""?","SELECT Artist FROM table WHERE Song title = ""Sugarbaby"""
"What is the release date for the song ""had a dad""?","SELECT Release date FROM table WHERE Song title = ""Had a Dad"""
List the total numbers of Evian Masters tournaments. ,SELECT MAX No. FROM table WHERE Tournament = Evian Masters
What is the original air date of season 9?,SELECT Original air date FROM table WHERE Season # = 9
Who were the writers when there were 27.11 million viewers?,SELECT Written by FROM table WHERE U.S. viewers (millions) = 27.11
How many series had viewers totaling 23.93 million?,SELECT COUNT Series # FROM table WHERE U.S. viewers (millions) = 23.93
How many original air dates totaled 26.06 million viewers?,SELECT COUNT Original air date FROM table WHERE U.S. viewers (millions) = 26.06
What is the title when 18.58 u.s. viewers  (millions) watched?,SELECT Title FROM table WHERE U.S. viewers (millions) = 18.58
How many digital terrestrial channels are there for channel 4?,SELECT COUNT Digital terrestrial channel FROM table WHERE Channel = Channel 4
What is the channel that is on digital terrestrial channel 10?,SELECT Channel FROM table WHERE Digital terrestrial channel = 10
What is the digital terrestria channel number for itv3?,SELECT Digital terrestrial channel FROM table WHERE Channel = ITV3
What is the position of digital channel 5 44 (+1)?,SELECT Position FROM table WHERE Digital terrestrial channel = 5 44 (+1)
"where pageant is elite model look and year is bigger than 1993.0, who is the delegate?",SELECT Delegate FROM table WHERE Pageant = Elite Model Look AND Year > 1993.0
How many years was the pageant miss globe international and delegate was karen loren medrano agustin?,SELECT COUNT Year FROM table WHERE Pageant = Miss Globe International AND Delegate = Karen Loren Medrano Agustin
"How many pageants were in san fernando, pampanga?","SELECT COUNT Pageant FROM table WHERE Hometown = San Fernando, Pampanga"
How many pageants were margaret ann awitan bayot the delegate of?,SELECT COUNT Pageant FROM table WHERE Delegate = Margaret Ann Awitan Bayot
How many awards did milagros gutierrez win?,SELECT Other awards FROM table WHERE Delegate = Milagros Gutierrez
Where is the miss global teen?,SELECT Hometown FROM table WHERE Pageant = Miss Global Teen
what is the subtrate for enzyme ala dehydratase,SELECT Substrate FROM table WHERE Enzyme = ALA dehydratase
how many porphyria have substrate δ-aminolevulinic acid,SELECT COUNT Porphyria FROM table WHERE Substrate = δ-Aminolevulinic acid
give the location of subtrate coproporphyrinogen iii,SELECT Location FROM table WHERE Substrate = Coproporphyrinogen III
Who were the authors  of episode having production code 3t7573?,SELECT Written by FROM table WHERE Production code = 3T7573
How many episodes had a viewership of 2.65 million?,SELECT COUNT No. in season FROM table WHERE U.S. viewers (millions) = 2.65
Who were the director/s of episodes written by Mike Daniels?,SELECT Directed by FROM table WHERE Written by = Mike Daniels
How many winners of Binibining Pilipinas-International when Nina Ricci Alagao?,SELECT COUNT Binibining Pilipinas-International FROM table WHERE Miss Universe Philippines = Nina Ricci Alagao
Who was second runner up when Janina San Miguel won Binibining Pilipinas-World?,SELECT Second runner-up FROM table WHERE Binibining Pilipinas-World = Janina San Miguel
Who was the winner of binibining pilipinas-International wheh Gionna Cabrera won Miss Universe Philippines?,SELECT Binibining Pilipinas-International FROM table WHERE Miss Universe Philippines = Gionna Cabrera
How many winners of binibining pilipinas-International when Maria Karla Bautista won binibining pilipinas-world?,SELECT COUNT Binibining Pilipinas-International FROM table WHERE Binibining Pilipinas-World = Maria Karla Bautista
Who is the second runner up when Janina San Miguel won binibining pilipinas-world?,SELECT COUNT Second runner-up FROM table WHERE Binibining Pilipinas-World = Janina San Miguel
"When Margaret Ann Bayot won binibining pilipinas-international, how many winners of Miss Universe Philippines were there?",SELECT COUNT Miss Universe Philippines FROM table WHERE Binibining Pilipinas-International = Margaret Ann Bayot
What's the minimal number of population served?,SELECT MIN Population Served FROM table
"Who's the partner at Tamara, Hon?","SELECT Partner FROM table WHERE Location = Tamara, HON"
How many votes Khuzestan were there when the percentage was 34.50?,SELECT MIN Votes Khuzestan FROM table WHERE % of votes Khuzestan = 34.50
How many figures for votes Khuzestan were there when the percentage was 34.50?,SELECT COUNT Votes Khuzestan FROM table WHERE % of votes Khuzestan = 34.50
What was the percentage of national votes for Mahmoud Ahmadinejad?,SELECT % of votes nationally FROM table WHERE Candidates = Mahmoud Ahmadinejad
Name the revenue for eps being 8.9,SELECT Revenue (£million) FROM table WHERE Earnings per share (p) = 8.9
Name the total number of year to april for ebit being 24.5,SELECT COUNT Year to April FROM table WHERE EBIT (£m) = 24.5
Name the eps for net profit being 39.2,SELECT Earnings per share (p) FROM table WHERE Net profit (£m) = 39.2
Name the ebit for eps being 10.6,SELECT EBIT (£m) FROM table WHERE Earnings per share (p) = 10.6
What are the population densities of all communes with an are of 28.3 sq.km.?,SELECT Pop. density (km 2 ) FROM table WHERE Area (km 2 ) = 28.3
What commune has an area of 12.4 sq.km.?,SELECT Commune FROM table WHERE Area (km 2 ) = 12.4
What commune had a 2002 population of 130394?,SELECT Commune FROM table WHERE 2002 population = 130394
Which city has a resolution that is negotiated exile in Austria?,SELECT City FROM table WHERE Resolution = Negotiated exile in Austria
Which city has the missions city of Australia?,SELECT City FROM table WHERE Missions Country = Australia
How many missions countries have notability with president of burundi?,SELECT COUNT Missions Country FROM table WHERE Notability = President of Burundi
What is the nickname of the team whose 2013/2014 enrollment is 436? ,SELECT Nickname(s) FROM table WHERE Enrollment (2013/14) = 436
What is the name of the team from the Elverado Trico school in football? ,SELECT Team Name FROM table WHERE Sports = Football AND Schools = Elverado Trico
How many years of kindergarten is provided in Ticino?,SELECT Years of Kindergarten provided FROM table WHERE Canton = Ticino
How many years is kindergarten legally requited in Zug?,SELECT Years of Kindergarten legally required FROM table WHERE Canton = Zug
Are there integrated secondary schools in Uri?,SELECT Integrated Secondary Schools? FROM table WHERE Canton = Uri
What is the longest length of mandatory secondary school?,SELECT MAX Length of mandatory Secondary School FROM table
Are there integrated secondary schools in Basel-Stadt?,SELECT Integrated Secondary Schools? FROM table WHERE Canton = Basel-Stadt
Who wrote the story that is cover date 19 October 1985?,SELECT Writer/s FROM table WHERE Cover Date = 19 October 1985
"How many cover dates does the story ""Devastation Derby! (part 1)"" have?",SELECT COUNT Cover Date FROM table WHERE Story Title = DEVASTATION DERBY! (Part 1)
What is the comment on the issue dated 14 March 1987?,SELECT Comments FROM table WHERE Cover Date = 14 March 1987
What is the title of the issue where the art was done by Barry Kitson and Farmer?,SELECT Story Title FROM table WHERE Artist/s = Barry Kitson and Farmer
What is the minimum number which is for title The Enemy Within part 1?,SELECT MIN # FROM table
what is the number of hydroxymatairesinol where sesamin is 62724?,SELECT Hydroxymatairesinol FROM table WHERE Sesamin = 62724
what is the total number of sesamin were secoisolariciresinol is 240?,SELECT Sesamin FROM table WHERE Secoisolariciresinol = 240
what is the maximum number of pinorinol in wheat bran?,SELECT MAX Pinoresinol FROM table WHERE Foodstuff = Wheat bran
how much sesamin is in sesame seed?,SELECT Sesamin FROM table WHERE Foodstuff = Sesame seed
what is the minimum number is lariciresinol where matairesinol number is 440?,SELECT MIN Lariciresinol FROM table WHERE Matairesinol = 440
What was the calling for the 18.42 arrival time?,SELECT Calling at FROM table WHERE Arrival = 18.42
"What was the arrival for Wansford, Peterborough East?","SELECT Arrival FROM table WHERE Calling at = Wansford, Peterborough East"
What was the departure time when the arrival was 14.40?,SELECT Departure FROM table WHERE Arrival = 14.40
What is the departure for Peterborough East whose arrival time is 12.40?,SELECT Departure FROM table WHERE Going to = Peterborough East AND Arrival = 12.40
What is the calling at for the 09.50 departure?,SELECT Calling at FROM table WHERE Departure = 09.50
Where is the train going to when departing at 20.35?,SELECT Going to FROM table WHERE Departure = 20.35
Name the most played for 140 plus is 13,SELECT MAX Played FROM table WHERE 140+ = 13
Name the 3 dart average for michael van gerwen,SELECT 3-dart Average FROM table WHERE Player = Michael van Gerwen
how many callings of trains arriving at 09.06,SELECT COUNT Calling at FROM table WHERE Arrival = 09.06
what is the operator of trains arriving at 13.39 ,SELECT Operator FROM table WHERE Arrival = 13.39
when does the train departuring at 11.35 arrive,SELECT Arrival FROM table WHERE Departure = 11.35
when does the train arriving at bourne at 11.45 departure ,SELECT Departure FROM table WHERE Going to = Bourne AND Arrival = 11.45
when does the train arriving at stamford east at 11.45 departure ,SELECT Departure FROM table WHERE Arrival = 11.45 AND Going to = Stamford East
How many clubs are remaining when the winners from the previous round totals 4?,SELECT Clubs remaining FROM table WHERE Winners from previous round = 4
What is the round where winners from the previous round totals 8?,SELECT Round FROM table WHERE Winners from previous round = 8
How many clubs remain in the fourth round?,SELECT MIN Clubs remaining FROM table WHERE Round = Fourth round
How many new entries started in the round where winners from the previous round is 32?,SELECT New entries this round FROM table WHERE Winners from previous round = 32
How many new entries started in the quarter finals?,SELECT New entries this round FROM table WHERE Round = Quarter finals
How many new entries started in the round where winners from the previous round is 16?,SELECT New entries this round FROM table WHERE Winners from previous round = 16
"Who wrote ""episode 10""?","SELECT Writer FROM table WHERE Title = ""Episode 10"""
"Who wrote ""episode 4""?","SELECT Writer FROM table WHERE Title = ""Episode 4"""
"Who directed ""episode 5""?","SELECT Director FROM table WHERE Title = ""Episode 5"""
Who was the train operator when the train departed at 11.02 in 1922?,SELECT Operator FROM table WHERE Departure = 11.02
"What was the train destination when it has a calling at Boston, Sleaford, Nottingham Victoria?","SELECT Going to FROM table WHERE Calling at = Boston, Sleaford, Nottingham Victoria"
What was the departure time of the train going to Boston?,SELECT Departure FROM table WHERE Going to = Boston
What was the arrival time of the train that departed at 18.16?,SELECT Arrival FROM table WHERE Departure = 18.16
What was the departure time of the train that arrived at 21.26?,SELECT Departure FROM table WHERE Arrival = 21.26
What was the 'calling at' station of the train that departed on 18.16?,SELECT Calling at FROM table WHERE Departure = 18.16
Name the original air date for barnaby southcomb for charlie martin,SELECT Original air date FROM table WHERE Director = Barnaby Southcomb AND Writer = Charlie Martin
Name the number in series for number 38,SELECT MIN No. in series FROM table WHERE No. overall = 38
What is the original air date of the episode with the production code 1115? ,SELECT Original air date FROM table WHERE Production code = 1115
"who directed the episode with the original air date of November 22, 1989? ","SELECT Directed by FROM table WHERE Original air date = November 22, 1989"
when deland is the fcsl team and 2008 is the year played who is the mlb team?,SELECT MLB Team FROM table WHERE Years Played = 2008 AND FCSL Team = DeLand
When toronto blue jays are the mlb team who are the fscl team?,SELECT FCSL Team FROM table WHERE MLB Team = Toronto Blue Jays
When 2005 is the year played what is the lowest year drafted?,SELECT MIN Year Drafted FROM table WHERE Years Played = 2005
When winter pines is the fcsl team how many mlb teams are there?,SELECT COUNT MLB Team FROM table WHERE FCSL Team = Winter Pines
When 2006 is the year played and winter park is the fcsl team who is the player?,SELECT Player FROM table WHERE FCSL Team = Winter Park AND Years Played = 2006
Which operators offer a genre of music?,SELECT Operator FROM table WHERE Genre = music
Which languages are offered in the coverage area of klang petaling jaya shah alam?,SELECT Language FROM table WHERE Coverage Area = Klang Petaling Jaya Shah Alam
Name the macedonian for  il/elle avait entendu,SELECT Macedonian FROM table WHERE French = il/elle avait entendu
Name the greek modern for  słyszałeś był / słyszałaś była,SELECT Greek (Modern) FROM table WHERE Polish (extinct) = słyszałeś był / słyszałaś była
Name the bulgarian for  jullie hadden gehoord,SELECT Bulgarian FROM table WHERE Dutch = jullie hadden gehoord
Name the english for  j'avais entendu,SELECT English FROM table WHERE French = j'avais entendu
What was the air date in the U.S. for the episode that had 1.452 million Canadian viewers?,SELECT U.S. air date FROM table WHERE Canadian viewers (million) = 1.452
What number episode in the series was directed by Kelly Makin and written by Mark Ellis & Stephanie Morgenstern?,SELECT No. FROM table WHERE Directed by = Kelly Makin AND Written by = Mark Ellis & Stephanie Morgenstern
What is the maximum number of episodes in the series listed?,SELECT MAX No. FROM table
What is the total number of episodes listed with a production code of 306?,SELECT COUNT # FROM table WHERE Production code = 306
Who directed the episode with a production code of 301?,SELECT Directed by FROM table WHERE Production code = 301
Who wrote the episodes watched by 1.816 million people in Canada?,SELECT Written by FROM table WHERE Canadian viewers (million) = 1.816
Who wrote the episodes watched by 1.575 million people in Canada?,SELECT Written by FROM table WHERE Canadian viewers (million) = 1.575
"Who directed the episode aired on February 27, 2009?","SELECT Directed by FROM table WHERE U.S. air date = February 27, 2009"
Which episodes had production code 217?,SELECT Title FROM table WHERE Production code = 217
"For upper Arlington, what was the median household income?",SELECT Median House- hold Income FROM table WHERE Place = Upper Arlington
"With a per capita income of $30,298, what was the total number of households?","SELECT COUNT Number of Households FROM table WHERE Per Capita Income = $30,298"
"If the population is 2188, what was the median household income?",SELECT Median House- hold Income FROM table WHERE Population = 2188
For Pigeon Creek what is the per capita income?,SELECT Per Capita Income FROM table WHERE Place = Pigeon Creek
"If the median income is $57,407, what is the per capita income?","SELECT Per Capita Income FROM table WHERE Median House- hold Income = $57,407"
"How many production codes have the title ""the better man""?","SELECT COUNT Production code FROM table WHERE Title = ""The Better Man"""
"Who directed the episode that aired on July 29, 2011?","SELECT Directed by FROM table WHERE U.S. air date = July 29, 2011"
How many air dates where directed by jim donovan?,SELECT COUNT U.S. air date FROM table WHERE Directed by = Jim Donovan
What is the smallest number?,SELECT MIN # FROM table
Which air dates have 1.229 canadian viewers (millions)?,SELECT U.S. air date FROM table WHERE Canadian viewers (million) = 1.229
In what district is the city listed in Serial number 9?,SELECT COUNT District FROM table WHERE Serial No. = 9
What is the area of the city in the Sargodha district?,SELECT COUNT City Area(km 2 ) FROM table WHERE District = Sargodha District
What is the smallest city area?,SELECT MIN City Area(km 2 ) FROM table
"If Di Drew is the director, what was the original air date for episode A Whole Lot to Lose?",SELECT Original air date FROM table WHERE Directed by = Di Drew
What is the population (2010 census) if s barangay is 51?,SELECT COUNT Population (2010 census) FROM table WHERE s Barangay = 51
What is the population  (2010 census) if the area is 66.11?,SELECT MIN Population (2010 census) FROM table WHERE Area ( has .) = 66.11
How many entered the match with a time of 14:42? ,SELECT Entered FROM table WHERE Time = 14:42
What was the time for the match with Cena? ,SELECT Time FROM table WHERE Wrestler = Cena
What was the time of the match where Chris Jericho eliminated the wrestler? ,SELECT Time FROM table WHERE Eliminated by = Chris Jericho
What are all the stations with a license in Cincinnati?,SELECT Station FROM table WHERE City of license /Market = Cincinnati
What station is affiliated with kmgh-tv?,SELECT Affiliation FROM table WHERE Station = KMGH-TV
How many stations have been owned since wfts-tv?,SELECT Owned Since FROM table WHERE Station = WFTS-TV
What city of license/market has the channel of 41?,SELECT City of license /Market FROM table WHERE Channel ( TV / RF ) = 41
What is the minimum stations owned since kero-tv?,SELECT MIN Owned Since FROM table WHERE Station = KERO-TV
What is the lyric fm for rnag 93.2?,SELECT Lyric FM (MHz) FROM table WHERE RnaG (MHz) = 93.2
What are the 2fm's for erp 16?,SELECT 2FM (MHz) FROM table WHERE ERP (kW) = 16
What is the rnag for kippure transmitter? ,SELECT RnaG (MHz) FROM table WHERE Transmitter = Kippure
What is the rnag for  lyric fm 98.7? ,SELECT RnaG (MHz) FROM table WHERE Lyric FM (MHz) = 98.7
What is the 2fm for rnag 94.4?,SELECT 2FM (MHz) FROM table WHERE RnaG (MHz) = 94.4
How many reasons were given when A. Willis Robertson (D) resigned?,SELECT COUNT Reason for change FROM table WHERE Vacator = A. Willis Robertson (D)
"Who vacated his post when his successor was formally installed on May 11, 1966?","SELECT Vacator FROM table WHERE Date of successors formal installation = May 11, 1966"
"What was the state (class) where the new successor was formally installed on May 11, 1966?","SELECT State (class) FROM table WHERE Date of successors formal installation = May 11, 1966"
When abba is the artist what is the album?,SELECT Album FROM table WHERE Artist = ABBA
When 35 is the number what is the album?,SELECT Album FROM table WHERE No. = 35
When bat out of hell is the album what is the lowest number?,SELECT MIN No. FROM table WHERE Album = Bat Out of Hell
When cannot handle non-empty timestamp argument! 2007 is released what is the no.?  ,SELECT No. FROM table WHERE Released = Cannot handle non-empty timestamp argument! 2007
Which district did Ralph Harvey (r) vacated when he resigned?,SELECT District FROM table WHERE Vacator = Ralph Harvey (R)
"Who did Walter B. Jones, Sr. (d) succeeded in office?","SELECT Vacator FROM table WHERE Successor = Walter B. Jones, Sr. (D)"
"What number episode in the series was titled ""Never the Bride""?","SELECT No. in series FROM table WHERE Title = ""Never the Bride"""
"Who wrote the episode titled ""Trojan Horst""?","SELECT Written by FROM table WHERE Title = ""Trojan Horst"""
What was the title of the episode directed by John T. Kretchmer? ,SELECT Title FROM table WHERE Directed by = John T. Kretchmer
How many seasons were directed by Bryan Spicer?,SELECT MIN No. in season FROM table WHERE Directed by = Bryan Spicer
What is the title of series 23?,SELECT Title FROM table WHERE No. in series = 23
"When did the title ""training video"" originally air?","SELECT Original air date FROM table WHERE Title = ""Training Video"""
Who directed season 1?,SELECT Directed by FROM table WHERE No. in season = 1
What is the title when u.s. viewers (millions) is 3.97?,SELECT Title FROM table WHERE U.S. viewers (in millions) = 3.97
how many people commentated where broadcaster is orf,SELECT COUNT Commentator FROM table WHERE Broadcaster = ORF
list the spokespersons where voting order is 9,SELECT Spokespersons FROM table WHERE Voting order = 9
which countries were commentated on by gordana bonetti,SELECT Country FROM table WHERE Commentator = Gordana Bonetti
wich spokesperson talked on luxembourg,SELECT Spokespersons FROM table WHERE Country = Luxembourg
who was the commentator when spokesperson was claude darget,SELECT Commentator FROM table WHERE Spokespersons = Claude Darget
List all institutions with a team name of the Cardinals. ,SELECT Institution FROM table WHERE Team Nickname = Cardinals
"List the total number of institutions founded in Rock Island, Illinois.","SELECT COUNT Founded FROM table WHERE Location = Rock Island, Illinois"
How many viewers in millions watched the episode 23:55 minutes long?,SELECT Viewers (in millions) FROM table WHERE Run time = 23:55
What is the broadcast date of the 16mm t/r episode?,SELECT Broadcast date FROM table WHERE Archive = 16mm t/r
How many viewers watched the 16mm t/r episode?,SELECT Viewers (in millions) FROM table WHERE Archive = 16mm t/r
"state el canal de las estrellas where october 20, 2008 stat is june 5, 2009","SELECT El Canal de las Estrellas FROM table WHERE October 20, 2008 = June 5, 2009"
state el canal de las estrellas where mañana es para siempre is impreuna pentru totdeauna,SELECT El Canal de las Estrellas FROM table WHERE Mañana es para siempre = Impreuna pentru totdeauna
"what is the june 14, 2009 stat where october 20, 2008 stat is november 15, 2010","SELECT June 14, 2009 FROM table WHERE October 20, 2008 = November 15, 2010"
what is the mexico stat where mañana es para siempre is love never dies,SELECT Mexico FROM table WHERE Mañana es para siempre = Love Never Dies
"state el canal de las estrellas where october 20, 2008 stat is june 5, 2009","SELECT El Canal de las Estrellas FROM table WHERE October 20, 2008 = June 5, 2009"
"what is the october 20, 2008 stat where mexico stat is romania","SELECT October 20, 2008 FROM table WHERE Mexico = Romania"
Name the other for chironius multiventris septentrionalis,SELECT Other FROM table WHERE Species = Chironius multiventris septentrionalis
Name the trinidad for yellow-bellied puffing snake,SELECT Trinidad FROM table WHERE Common name = Yellow-bellied puffing snake
Name the bocas for chironius multiventris septentrionalis,SELECT Bocas Is. FROM table WHERE Species = Chironius multiventris septentrionalis
Name the trindad for yellow-bellied puffing snake,SELECT Trinidad FROM table WHERE Common name = Yellow-bellied puffing snake
Name the common name for chironius multiventris septentrionalis,SELECT Common name FROM table WHERE Species = Chironius multiventris septentrionalis
What contestant was premiered on July 25? ,SELECT Contestant Name FROM table WHERE Date Premiered (2009) = July 25
What's the Air Force - Navy score in the 2018 season?,SELECT Air Force – Navy score FROM table WHERE Season = 2018
What was the Air Force - Navy score in the 1983 season?,SELECT Air Force – Navy score FROM table WHERE Season = 1983
"How many different season have an Army - Navy score of 10 dec. 2016 at Baltimore, MD (M&T Bank Stadium)?","SELECT COUNT Season FROM table WHERE Army – Navy score = 10 Dec. 2016 at Baltimore, MD (M&T Bank Stadium)"
"In the first episode of Garfield titled Robodie II, what is the title of the U.S. Acres Episode?",SELECT U.S. Acres Episode FROM table WHERE Garfield Episode 1 = Robodie II
What is the title of the first episode of Garfield that is followed by the second episode of Garfield titled Mamma Manicotti?,SELECT Garfield Episode 1 FROM table WHERE Garfield Episode 2 = Mamma Manicotti
What is the name of the US Acres episode following the Garfield episode titled Robodie II?,SELECT U.S. Acres Episode FROM table WHERE Garfield Episode 1 = Robodie II
what is the 2nd garfield episode for garfield episode 1 twice told tale,SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = Twice Told Tale
what is the 2nd garfield episode where u.s. acres episode is the orson awards,SELECT Garfield Episode 1 FROM table WHERE U.S. Acres Episode = The Orson Awards
how many 2nd episodes for u.s. acres episode the orson awards,SELECT COUNT Garfield Episode 2 FROM table WHERE U.S. Acres Episode = The Orson Awards
what is the original airdate for garfield episode 2 the wise man,SELECT Original Airdate FROM table WHERE Garfield Episode 2 = The Wise Man
what is the 2nd garfield episode where u.s. acres episode is the bunny rabbits is coming!,SELECT Garfield Episode 2 FROM table WHERE U.S. Acres Episode = The Bunny Rabbits is Coming!
which episode had garfield episode 1 ship shape,SELECT Episode FROM table WHERE Garfield Episode 1 = Ship Shape
Which Garfield episode 2 has Garfield episode 1 as the first annual Garfield watchers test?,SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = The First Annual Garfield Watchers Test
What is the original air date of the u.s. acres episode who done it?,SELECT Original Airdate FROM table WHERE U.S. Acres Episode = Who Done It?
Which episode in Garfield episode 1 is the worst pizza in the history of mankind?,SELECT Episode FROM table WHERE Garfield Episode 1 = The Worst Pizza in the History of Mankind
How many original airdates is Garfield episode 1 is cute for loot?,SELECT COUNT Original Airdate FROM table WHERE Garfield Episode 1 = Cute for Loot
"Which u.s.acres episode has ""show 79"" as the episode?","SELECT U.S. Acres Episode FROM table WHERE Episode = ""Show 79"""
How many u.s. episodes have Garfield episode 2 the picnic panic?,SELECT COUNT U.S. Acres Episode FROM table WHERE Garfield Episode 2 = The Picnic Panic
what is the garfield episode where us acres episode is banana nose?,SELECT Garfield Episode 2 FROM table WHERE U.S. Acres Episode = Banana Nose
what is the original airdate for shell shocked sheldon?,SELECT Original Airdate FROM table WHERE U.S. Acres Episode = Shell Shocked Sheldon
What is episode 2 for Robodie?,SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = Robodie
"What are the episodes for ""Crime and Nourishment""?",SELECT Episode FROM table WHERE Garfield Episode 2 = Crime and Nourishment
"What is the garfield episode 2  when episode 1 is ""change of mind""?",SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = Change Of Mind
"What is the title of garfield episode 2 when ""the horror hostess (part 1)"" is episode 1?",SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = The Horror Hostess (Part 1)
"What is the name of episode 2 for garfield when episode 1 is ""suburban jungle""?",SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = Suburban Jungle
